"","video_id","channel_id","period1Comments","period2Comments","period3Comments","period4Comments","period5Comments","period1Likes","period2Likes","period3Likes","period4Likes","period5Likes","period1Disikes","period2Dislikes","period3Dislikes","period4Dislikes","period5Dislikes","period1Views","period2Views","period3Views","period4Views","period5Views","officialBrandContent","Brand"
"654","waS9T5NS8hU","UCzsUvSYZYVot0Ung8pHBCSw",0,0,0,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,31,FALSE,"MountainView"
"655","zcwoMoiKeH8","UCvVEEEkHWaZfgwmZ7AQxyxA",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,102,FALSE,"MountainView"
"656","bhWQXF2bCgE","UCTpq8zzzqhstpqJNphNYgHQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,"MountainView"
"657","P3DJD0k8zms","UCAo-6TCgsyyEb3jhYm0wXww",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,288,FALSE,"MountainView"
"658","eFx0lcFVblY","UCS4hivrrD9zj2iYR2QzbzQw",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,FALSE,"MountainView"
"659","7GjDEoish18","UChFP1alVvsyWU3N5C3MlGaw",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,FALSE,"MountainView"
"660","3_DDy8hW97s","UCUPh3ij3C8H70ZuVYc6PYYg",0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0,81,FALSE,"MountainView"
"661","f1dMebjhMf0","UCfeovfV8KRTAftKxgvbpn6Q",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,FALSE,"MountainView"
"662","FJegaAoo9f4","UCavpWWuonCIopdARE2_GUsg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,FALSE,"MountainView"
"663","b5wy-BZgzQQ","UCllYx9MZFrRSPnm3NrehYaw",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,159,FALSE,"MountainView"
"664","2U3Nt8Amy-c","UCbvyW3SvktuPbbufqa2g0bA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,FALSE,"MountainView"
"665","wDIqPPwF1A4","UCklWeg8LgKrDtqIarDdy26w",0,0,0,0,6,0,0,0,0,1,0,0,0,0,2,0,0,0,0,84,FALSE,"MountainView"
"666","4_L8vbxbqrw","UCr1ycFmYUKRkR8ifxP0H46g",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,436,FALSE,"MountainView"
"667","toxeoWhhm6A","UCLyzzEIR-utwpJGvwTCBRHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE,"MountainView"
"668","LBstHvRpGhU","UCY-HdKNQzLiiN-I05fRFxwQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,"MountainView"
"669","tW0BI19-tpU","UC3U4UZLeYsjdFpMw-yPwmHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,FALSE,"MountainView"
