"","video_id","channel_id","period1Comments","period2Comments","period3Comments","period4Comments","period5Comments","period1Likes","period2Likes","period3Likes","period4Likes","period5Likes","period1Disikes","period2Dislikes","period3Dislikes","period4Dislikes","period5Dislikes","period1Views","period2Views","period3Views","period4Views","period5Views","officialBrandContent","Brand"
"34","6xrmPpwyNaU","UCSYkNMe2rgBeTdGgQV_blKw",31,8,8,8,13,65,119,58,63,76,2,3,1,2,3,5670,12385,5428,6815,5266,FALSE,"Reese"
"35","7Z_2lmo3sAg","UCF3Mzit5NXPJWvBXyoAVHRg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,5,18,16,FALSE,"Reese"
"36","7ZbLKDwUrHU","UCJyy_r6OuL20hkPCMGHgsKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"37","7bzh2Ge_xSY","UCToQqDo_-6hlUOU1NuE3Aqg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,43,51,51,31,FALSE,"Reese"
"38","7dxPtFUAHv4","UCbZ5z159lqQeRZvN-tVgFFA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"39","8FQG_XpyZvE","UCmgCCl8DhpzHw7XDZIAC4VA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"40","8I7xccEkL6M","UCrFqQ00yClNzlrfd4YiDMsA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,35,19,56,27,FALSE,"Reese"
"41","8rot82VRIew","UCFCvI7xUfc0LA5GxXvFQWtw",0,0,0,0,0,11,8,0,4,3,0,0,0,0,0,89,148,49,100,58,FALSE,"Reese"
"42","9JAtSsuBgA4","UCjCdu33b6Qi2M6Elk-sezmA",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,16,29,16,25,22,FALSE,"Reese"
"43","9P6WuuIP_9I","UCw72Rlb2FUc0kMcYcXdSvhw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"44","9cip5DYNiuQ","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"45","AWPyjnhDnPs","UCgjufz4t-6rHaADaEPs4xfQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,"Reese"
"46","AqSC-Z3GFy8","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,FALSE,"Reese"
"47","Btt0Q3Kyhj4","UCrfwQMhL6AEwrSla8chJO3w",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,11,11,11,8,FALSE,"Reese"
"48","CB8zHpVJW1U","UCsoiFs_IAf8uMoXd7vj3_Gg",0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,34,68,65,97,77,FALSE,"Reese"
"49","CTXQJpFDq-o","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"50","D3f7oMl7dhU","UCZCuImOQhJK_IEvbah1hHLw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,"Reese"
"51","DDMBlxP5QAY","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"52","DHDPPBg_hkk","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,FALSE,"Reese"
"53","DmNID7X5GdM","UCSLLw95PJRrl9J4PpFfX2gw",0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,15,54,32,91,52,FALSE,"Reese"
"54","Dna9Os4p4jY","UC2fEnzXBvAYVhZ6rouEHt8w",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31,23,20,11,FALSE,"Reese"
"55","E0WtiuZ8ZrY","UCORB0siyf3n_FS22MSLrjZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,FALSE,"Reese"
"56","EFSmELgDOzs","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,FALSE,"Reese"
"57","EUCbS-Z9Bc0","UCaC9NmNlaF472g9o9YgKG1g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"58","EV_0tZE4W9I","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"59","F2HrWwfoiC8","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"60","F5iz7HbKqaI","UCYExPC_ChinWIGDE3TCgm3w",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,FALSE,"Reese"
"61","FDD-Xz8Y1zg","UCIO9eJaX72QDQcd61Y0qiUw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,FALSE,"Reese"
"62","FQc5TIin9S0","UCJ5gRt9N2V5nv8nP3YvZpRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,8,4,FALSE,"Reese"
"63","FWQumV3m-Gc","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"64","FflBQScMjHA","UCZ5CAwpZelJ8TkID0m8i36A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"65","Ft63vEGatAA","UCx9Hy7s8mv6fJjTHkJcF-tw",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,2,1,FALSE,"Reese"
"66","G1pI5gPg2Ks","UCzuN3JkDTLQaGharxLh8Ibw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"67","GYxf-_SbCS0","UCPGFOHnSLqRgVubCLrY-q1g",0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,293,420,269,578,415,FALSE,"Reese"
"68","Gh1HERKYahM","UCLPIqm_G3s4_KMq0bxNUcPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"69","Gn39yI6nYmM","UCzz7d8y12Ie3I01pX3BX45Q",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,4,3,FALSE,"Reese"
"70","GoTIw_X3plw","UCgkaaYLGpld58JhoMsgp5Lw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"71","Gx1LXChf6JM","UCZzrMxDyVRRoOnPhX0kKykQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,FALSE,"Reese"
"72","HEe23YS4xl8","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,FALSE,"Reese"
"73","HGBsC7FvZ-s","UCWZw3nReJYbMPMumJHC6DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,2,0,FALSE,"Reese"
"74","HRQNnGC3JV4","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"75","HfW24s86vaw","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"76","HoB-cWhTyBo","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,"Reese"
"77","HyOohuOc_vo","UCgmonOg-spvs3kAnLWY9vzg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"78","HyhJi0aH7v8","UCORB0siyf3n_FS22MSLrjZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,"Reese"
"79","JFyM5AUNxKc","UCdw3RrAqWb_CQxZVNQI4xng",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,"Reese"
"80","JKphfkQB-kQ","UCkSlsHpp99Kx5gHt00IS2Jw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,2,FALSE,"Reese"
"81","JkqCSBjX3vw","UCKojKxwpk8XsA8wwRezGwmA",1,-44,1,2,4,10,19,23,27,17,0,0,2,0,0,1187,2085,1771,3342,1820,FALSE,"Reese"
"82","JzO8wvNme9Q","UCy2GaoDSnfZkhf4sLoPpOQw",2,1,0,8,2,3,7,3,10,2,0,0,0,1,1,521,1008,788,1079,742,FALSE,"Reese"
"83","KMGMj-TrjZQ","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"84","KQWtbYF4Ij8","UCfgvmQDw3cZqi3zTHFGgyxg",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,16,4,27,7,FALSE,"Reese"
"85","KgkqLFoRfU4","UCrWoEwaRQb9BD6cTzJj3O3g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,FALSE,"Reese"
"86","Kphez0sYwEI","UCuVaNBInNN1ATkP2_ZQlLKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,3,3,FALSE,"Reese"
"87","L59Aqq_vh_Y","UCFCvI7xUfc0LA5GxXvFQWtw",1,0,1,0,0,3,3,2,6,2,1,0,0,0,0,80,143,71,119,58,FALSE,"Reese"
"88","LNmmrh9XAPs","UCPGFOHnSLqRgVubCLrY-q1g",0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,226,378,267,397,369,FALSE,"Reese"
"89","LTyvXxyPZ-o","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"90","Lf0cgQCGxA4","UCbu7_1wydYTxd66sKYT79pQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,6,6,FALSE,"Reese"
"91","Lgh4vBGg9Hg","UCC8_YRJ7psy7uL1cTu1fPTQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2,2,FALSE,"Reese"
"92","LlGX6R5qKB4","UCSbDeY8tX4yit6a0yC44xcQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,9,4,FALSE,"Reese"
"93","LvP-kcjcdt4","UC8b8dAKg4BVx5pEu0d8l9-A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,FALSE,"Reese"
"94","M6Sd_qm3-Rs","UCPGFOHnSLqRgVubCLrY-q1g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,8,17,12,FALSE,"Reese"
"95","MHoRHywhRw8","UC_TQdarPtyQwA0FyFgiRv_Q",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,5,5,FALSE,"Reese"
"96","MJZF5TC3O84","UCwDmSRyhOmxfY2YHhsfA9Aw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,FALSE,"Reese"
"97","MezDEw5y4U0","UCHp178ENUj1QfqX4tekEufw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,10,4,FALSE,"Reese"
"98","Mp3_Zxv2gYQ","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,FALSE,"Reese"
"99","MvOdsjMeKfA","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"100","MxZwMcdGMpY","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"101","My3LRdvmdO4","UCKFlGWCXceIM3zGj94g_LMw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,6,13,FALSE,"Reese"
"102","NDTOE2Yo7ko","UCSH9ahY8XZYdhIiq8DsFF3A",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,61,199,170,187,142,FALSE,"Reese"
"103","Nueke-sLoqI","UCr225vXVCkcmCV8so0-11YA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,FALSE,"Reese"
