"","video_id","channel_id","period1Comments","period2Comments","period3Comments","period4Comments","period5Comments","period1Likes","period2Likes","period3Likes","period4Likes","period5Likes","period1Disikes","period2Dislikes","period3Dislikes","period4Dislikes","period5Dislikes","period1Views","period2Views","period3Views","period4Views","period5Views","officialBrandContent","Brand"
"34","2nZ2KjnSpQ4","UCINwg6WqfBnT_EYPU8z6NRg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,31,39,35,36,FALSE,"ShockTop"
"35","2oHhSLCwLoQ","UCfNVyUKiNUC2GtckvFfTYbA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,"ShockTop"
"36","2qekAM-2txo","UCKLAXCbRqgbaOLg1MF2qhRg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"ShockTop"
"37","2tpu1HSTbhM","UCfURNlkKSWURd3Vyw2Eifnw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"ShockTop"
"38","2uFn6G08fd0","UCgkaaYLGpld58JhoMsgp5Lw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,"ShockTop"
"39","2wUYmyH6zjo","UCDplzRhDvDtVvdZzg33ZnDw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"ShockTop"
"40","2wvRJcj8-i8","UCCcaBjsRrNX32a3RaBwfkow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,"ShockTop"
"41","2xHBh0g_rb4","UCKYnhCR-52SHpOq6zEvOyOg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,"ShockTop"
"42","31HetAGE6v0","UCJDPnZ8d4K3hHEFjmDxM9ag",0,0,0,0,0,2,0,1,5,1,0,0,0,0,0,107,0,343,280,169,FALSE,"ShockTop"
"43","3DTrOZprwC0","UCKO8aBVmqwY386f-y5O9sHg",0,0,0,0,0,0,25,0,46,0,0,0,0,1,0,0,691,0,1520,0,FALSE,"ShockTop"
"44","3NGPiJohsG0","UC5gfUwwWycyNZI6MDtiuleQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,"ShockTop"
"45","3O3FOanbixg","UC10OUjFBXwz38qz8A4xjb8A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,FALSE,"ShockTop"
"46","3eCyRxLwTIk","UCT9pJbEKfp1PwISoBjBk1hQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"ShockTop"
"47","3lfjbhjVY5o","UCM2K44GCjcEat-Y1y8Dh6tQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,"ShockTop"
"48","48Qmrim8j8s","UCKO8aBVmqwY386f-y5O9sHg",0,2,0,5,0,0,25,0,56,0,0,4,0,4,0,0,2572,0,5660,0,FALSE,"ShockTop"
"49","4DvyAOMIXas","UCmhK2zqKXF-_4unjZku6h6A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,FALSE,"ShockTop"
"50","4H8fFPyK784","UCpACreb1E23Z3anMUkHi0qg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,5,6,FALSE,"ShockTop"
"51","4HFCd8_ZllY","UCgF_-5HXvDc2R9nU6qlA-RQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,FALSE,"ShockTop"
"52","4JxdiTCbfig","UCJFs-2y71w_pJ56Sbnke1Pw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"ShockTop"
"53","4NbYjENRTPI","UCIHe8QmYt1m5kRmntztJlow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"ShockTop"
"54","4NwA2BaNCog","UC33mB2wpioTCG4_nICJ3upQ",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,12,18,14,26,18,FALSE,"ShockTop"
"55","4OpmyRPl8I0","UCfURNlkKSWURd3Vyw2Eifnw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"ShockTop"
"56","4cuhP_-Eeys","UC7JzvSEZdEOWSA0QXd-esvA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"ShockTop"
"57","4ufmCL_BLbQ","UCR7GRgslT-uL-dtm5w8-4ng",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"ShockTop"
"58","55X21BKMaWA","UC_S0OznayDFAQo-BVmdew3Q",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,"ShockTop"
"59","5ApHYKjqJd4","UClUQwd92QaAvAymMbHyWbLg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,"ShockTop"
"60","5DmWZwVNZYM","UChcojwhligrSGUEivITfkKw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,2,FALSE,"ShockTop"
"61","5FzDCm8CcIM","UCCd7h6oH2CVFKWeVEI80yWg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,"ShockTop"
"62","5NrE9m8zGTY","UC0KMZNxheunfhCdg_Aauxng",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"ShockTop"
"63","5QH7J5VuqpM","UCpfUlFZlM1yfcJG5dl9fwyg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,56,TRUE,"ShockTop"
